t,cmdty,market_id,market_name,state_id,state_name,district_id,district_name,variety,p_min,p_max,p_modal
9/20/2025,Bajra (Pearl Millet/Cumbu),166,Malegaon,27,Maharashtra,516,Nashik,Other,1925,2111,2091
9/20/2025,Bajra (Pearl Millet/Cumbu),1468,Gangapur,27,Maharashtra,515,Aurangabad,Other,1960,2600,2400
9/20/2025,Bajra (Pearl Millet/Cumbu),581,Chattrapati Sambhajinagar,27,Maharashtra,515,Aurangabad,Other,2030,2600,2315
9/20/2025,Bajra (Pearl Millet/Cumbu),584,Bhokardan,27,Maharashtra,514,Jalna,Other,2050,2200,2100
9/20/2025,Bajra (Pearl Millet/Cumbu),2476,Shevgaon(Bodhegaon),27,Maharashtra,522,Ahmadnagar,Other,2200,2400,2400
9/20/2025,Bajra (Pearl Millet/Cumbu),10108,Om Chaitanya Multistate Agro Purpose CoOp Society,27,Maharashtra,522,Ahmadnagar,Other,2600,2600,2600
9/20/2025,Bajra (Pearl Millet/Cumbu),583,Beed,27,Maharashtra,523,Bid,Other,2140,2740,2548
9/20/2025,Bajra (Pearl Millet/Cumbu),1514,Gevrai,27,Maharashtra,523,Bid,Other,2250,2700,2500
9/20/2025,Bajra (Pearl Millet/Cumbu),1820,Majalgaon,27,Maharashtra,523,Bid,Other,2100,2770,2700
9/20/2025,Bajra (Pearl Millet/Cumbu),2475,Rahuri(Vambori),27,Maharashtra,522,Ahmadnagar,Other,2900,2900,2900
9/20/2025,Bajra (Pearl Millet/Cumbu),158,Jalana,27,Maharashtra,514,Jalna,Other,2000,2600,2600
9/20/2025,Bajra (Pearl Millet/Cumbu),158,Jalana,27,Maharashtra,514,Jalna,Other,2800,2800,2800
9/20/2025,Bajra (Pearl Millet/Cumbu),1490,Pusad,27,Maharashtra,510,Yavatmal,Other,2301,2301,2301
9/20/2025,Bajra (Pearl Millet/Cumbu),2475,Rahuri(Vambori),27,Maharashtra,522,Ahmadnagar,Other,2400,2600,2500
9/20/2025,Bajra (Pearl Millet/Cumbu),2102,Sindkhed Raja,27,Maharashtra,500,Buldana,Other,1900,2500,2300
9/20/2025,Bajra (Pearl Millet/Cumbu),2480,Jalgaon(Masawat),27,Maharashtra,499,Jalgaon,Other,2300,2300,2300
9/20/2025,Bajra (Pearl Millet/Cumbu),573,Pachora,27,Maharashtra,499,Jalgaon,Other,1900,2651,2351
9/20/2025,Bajra (Pearl Millet/Cumbu),570,Amalner,27,Maharashtra,499,Jalgaon,Other,2500,2760,2760
9/20/2025,Bajra (Pearl Millet/Cumbu),1433,Shevgaon,27,Maharashtra,522,Ahmadnagar,Other,2300,2500,2500
