t,cmdty,market_id,market_name,state_id,state_name,district_id,district_name,variety,p_min,p_max,p_modal
12/31/2023,Jowar (Sorghum),2124,Ausa,27,Maharashtra,524,Latur,Jowar ( White),2000,3252,3010
12/30/2023,Jowar (Sorghum),1520,Loha,27,Maharashtra,511,Nanded,Other,2601,3325,2651
12/30/2023,Jowar (Sorghum),590,Hingoli,27,Maharashtra,512,Hingoli,Other,1350,4100,2725
12/30/2023,Jowar (Sorghum),592,Parbhani,27,Maharashtra,513,Parbhani,Other,3500,3600,3550
12/30/2023,Jowar (Sorghum),2087,Pathari,27,Maharashtra,513,Parbhani,Jowar ( White),2200,3201,3001
12/30/2023,Jowar (Sorghum),158,Jalana,27,Maharashtra,514,Jalna,Other,2350,3916,2850
12/30/2023,Jowar (Sorghum),1470,Lasur Station,27,Maharashtra,515,Aurangabad,Other,2500,3100,2800
12/30/2023,Jowar (Sorghum),166,Malegaon,27,Maharashtra,516,Nashik,Jowar ( White),1800,4500,4000
12/30/2023,Jowar (Sorghum),1425,Karjat(Raigad),27,Maharashtra,520,Raigarh,Other,2500,4200,3400
12/30/2023,Jowar (Sorghum),153,Ahmednagar,27,Maharashtra,522,Ahmadnagar,Other,2400,3500,2950
12/30/2023,Jowar (Sorghum),1430,Jamkhed,27,Maharashtra,522,Ahmadnagar,Other,4200,4700,4450
12/30/2023,Jowar (Sorghum),1432,Pathardi,27,Maharashtra,522,Ahmadnagar,Other,2000,2600,2400
12/30/2023,Jowar (Sorghum),1514,Gevrai,27,Maharashtra,523,Bid,Red,2400,3000,2700
12/30/2023,Jowar (Sorghum),1820,Majalgaon,27,Maharashtra,523,Bid,Red,2050,3800,3551
12/30/2023,Jowar (Sorghum),2127,Aurad Shahajani,27,Maharashtra,524,Latur,Jowar ( White),4500,5300,4900
12/30/2023,Jowar (Sorghum),1764,Kalamb (Dharashiv),27,Maharashtra,525,Osmanabad,Jowar ( White),2951,3590,3300
12/30/2023,Jowar (Sorghum),1764,Kalamb (Dharashiv),27,Maharashtra,525,Osmanabad,Jowar (Yellow),4600,4600,4600
12/30/2023,Jowar (Sorghum),1463,Vaduj,27,Maharashtra,527,Satara,Other,4500,4700,4600
12/30/2023,Jowar (Sorghum),174,Sangli,27,Maharashtra,531,Sangli,Other,3200,4200,3700
12/30/2023,Jowar (Sorghum),156,Khamgaon,27,Maharashtra,500,Buldana,Other,2700,2700,2700
12/30/2023,Jowar (Sorghum),1483,Nandura,27,Maharashtra,500,Buldana,Other,2500,3000,3000
12/30/2023,Jowar (Sorghum),1818,Deoulgaon Raja,27,Maharashtra,500,Buldana,Other,2300,2750,2500
12/30/2023,Jowar (Sorghum),589,Nanded,27,Maharashtra,511,Nanded,Other,4500,4500,4500
12/30/2023,Jowar (Sorghum),154,Akola,27,Maharashtra,501,Akola,Other,2900,3105,2950
12/29/2023,Jowar (Sorghum),2139,Tuljapur,27,Maharashtra,525,Osmanabad,Jowar ( White),3500,4100,4000
12/29/2023,Jowar (Sorghum),176,Solapur,27,Maharashtra,526,Solapur,Other,4000,4095,4095
12/29/2023,Jowar (Sorghum),1465,Karmala,27,Maharashtra,526,Solapur,Other,2500,5454,4500
12/29/2023,Jowar (Sorghum),174,Sangli,27,Maharashtra,531,Sangli,Other,3180,4000,3590
12/29/2023,Jowar (Sorghum),165,Nandurbar,27,Maharashtra,497,Nandurbar,Other,2753,3400,3075
12/29/2023,Jowar (Sorghum),1470,Lasur Station,27,Maharashtra,515,Aurangabad,Other,2000,3151,2700
12/29/2023,Jowar (Sorghum),1437,Shirpur,27,Maharashtra,498,Dhule,Other,2201,2326,2301
12/29/2023,Jowar (Sorghum),2075,Taloda,27,Maharashtra,497,Nandurbar,Other,2700,3561,2902
12/29/2023,Jowar (Sorghum),1450,Shahada,27,Maharashtra,497,Nandurbar,Other,2725,2876,2854
12/29/2023,Jowar (Sorghum),1811,Tasgaon,27,Maharashtra,531,Sangli,Other,3650,4020,3860
12/29/2023,Jowar (Sorghum),1468,Gangapur,27,Maharashtra,515,Aurangabad,Other,2311,4500,3406
12/29/2023,Jowar (Sorghum),2085,Mantha,27,Maharashtra,514,Jalna,Other,2000,2850,2500
12/29/2023,Jowar (Sorghum),1822,Ambad (Vadigodri),27,Maharashtra,514,Jalna,Other,1850,3880,2400
12/29/2023,Jowar (Sorghum),158,Jalana,27,Maharashtra,514,Jalna,Other,2100,3250,2900
12/29/2023,Jowar (Sorghum),2089,Palam,27,Maharashtra,513,Parbhani,Jowar ( White),3500,3500,3500
12/29/2023,Jowar (Sorghum),162,Mumbai,27,Maharashtra,519,Mumbai,Other,3500,7500,5500
12/29/2023,Jowar (Sorghum),587,Bhokar,27,Maharashtra,511,Nanded,Other,2702,2702,2702
12/29/2023,Jowar (Sorghum),2505,Jalgaon Jamod(Aasalgaon),27,Maharashtra,500,Buldana,Other,2300,3000,2600
12/29/2023,Jowar (Sorghum),1818,Deoulgaon Raja,27,Maharashtra,500,Buldana,Other,2200,2500,2300
12/29/2023,Jowar (Sorghum),1483,Nandura,27,Maharashtra,500,Buldana,Other,2850,3030,3030
12/29/2023,Jowar (Sorghum),159,Jalgaon,27,Maharashtra,499,Jalgaon,Other,2600,2600,2600
12/29/2023,Jowar (Sorghum),1425,Karjat(Raigad),27,Maharashtra,520,Raigarh,Other,2500,4000,3500
12/29/2023,Jowar (Sorghum),153,Ahmednagar,27,Maharashtra,522,Ahmadnagar,Other,3000,4100,3950
12/29/2023,Jowar (Sorghum),1430,Jamkhed,27,Maharashtra,522,Ahmadnagar,Other,4200,4800,4500
12/29/2023,Jowar (Sorghum),1514,Gevrai,27,Maharashtra,523,Bid,Red,2300,2900,2600
12/29/2023,Jowar (Sorghum),1820,Majalgaon,27,Maharashtra,523,Bid,Red,2100,3501,3075
12/29/2023,Jowar (Sorghum),2122,Kille Dharur,27,Maharashtra,523,Bid,Jowar (Yellow),4900,5600,5121
12/29/2023,Jowar (Sorghum),2122,Kille Dharur,27,Maharashtra,523,Bid,Red,2750,3451,3000
12/29/2023,Jowar (Sorghum),2124,Ausa,27,Maharashtra,524,Latur,Jowar ( White),2601,3501,3017
12/29/2023,Jowar (Sorghum),2127,Aurad Shahajani,27,Maharashtra,524,Latur,Jowar ( White),3000,5501,4250
12/29/2023,Jowar (Sorghum),1764,Kalamb (Dharashiv),27,Maharashtra,525,Osmanabad,Jowar ( White),3000,3590,3325
12/29/2023,Jowar (Sorghum),1764,Kalamb (Dharashiv),27,Maharashtra,525,Osmanabad,Jowar (Yellow),4301,4301,4301
12/29/2023,Jowar (Sorghum),1765,Murum,27,Maharashtra,525,Osmanabad,Jowar ( White),3191,4000,3596
12/28/2023,Jowar (Sorghum),1467,Mangal Wedha,27,Maharashtra,526,Solapur,Other,4000,5350,4900
